word,ipa
관위,k0 wa nn wi
정어리,c0 vv ng vv rr ii
유식론,yu s0 ii ng nn oo nf
장로회,c0 aa ng nn oo h0 wo
춘추관,ch uu nf ch uu k0 wa nf
도입부,t0 oo ii pf pp uu
민병,mm ii nf p0 yv ng
어렵,vv rr yv pf
매니저,mm qq nn ii c0 vv
청담,ch vv ng t0 aa mf
광주시,k0 wa ng c0 uu s0 ii
고민,k0 oo mm ii nf
어로,vv rr oo
어록,vv rr oo kf
폴라리스,ph oo ll rr aa rr ii s0 xx
십만,s0 ii mf mm aa nf
관음,k0 wa nn xx mf
효과적,h0 yo k0 wa c0 vv kf
관의,k0 wa nn xi
당뇨병,t0 aa ng nn yo p0 yv ng
영중추,yv ng c0 uu ng ch uu
듣,t0 xx tf
민법,mm ii nf pp vv pf
마두라,mm aa t0 uu rr aa
중국계,c0 uu ng k0 uu kf kk ye
여덟째,yv t0 vv ll cc qq
ㄴ단,t0 aa nf
ㄴ다,t0 aa
테스트,th ee s0 xx th xx
어찌하,vv cc ii h0 aa
정안국,c0 vv ng aa nf k0 uu kf
엎드리,vv pf tt xx rr ii
싱가포르,s0 ii ng k0 aa ph oo rr xx
벡터,p0 ee kf th vv
관자,k0 wa nf c0 aa
관작,k0 wa nf c0 aa kf
팽대부,ph qq ng t0 qq p0 uu
테이블,th ee ii p0 xx ll
분석학,p0 uu nf s0 vv kh aa kf
유장,yu c0 aa ng
렙톤,rr ee pf th oo nf
어뢰,vv rr wo
다다르,t0 aa t0 aa rr xx
제공자,c0 ee k0 oo ng c0 aa
히트,h0 ii th xx
멸망,mm yv ll mm aa ng
암기,aa mf k0 ii
마르텔,mm aa rr xx th ee ll
뻔,pp vv nf
윈도,wi nf t0 oo
민방,mm ii nf p0 aa ng
훤,h0 wv nf
분기점,p0 uu nf k0 ii c0 vv mf
결탁,k0 yv ll th aa kf
완결,wa nf k0 yv ll
생매장,s0 qq ng mm qq c0 aa ng
워털루,wv th vv ll rr uu
청도,ch vv ng t0 oo
관영,k0 wa nf nn yv ng
원자핵,wv nf c0 aa h0 qq kf
놋,nn oo tf
국정원장,k0 uu kf cc vv ng wv nf c0 aa ng
청동,ch vv ng t0 oo ng
표면적,ph yo mm yv nf c0 vv kf
저전력,c0 vv c0 vv ll rr yv kf
일치,ii ll ch ii
몽,mm oo ng
천동설,ch vv nf t0 oo ng s0 vv ll
어류,vv rr yu
마르타,mm aa rr xx th aa
깊,k0 ii pf
잘생기,c0 aa ll ss qq ng k0 ii
중재자,c0 uu ng c0 qq c0 aa
관왕,k0 wa nn wa ng
보퍼트,p0 oo ph vv th xx
현내면,h0 yv nf nn qq mm yv nf
유임,yu ii mf
어른,vv rr xx nf
아와지,aa wa c0 ii
머지,mm vv c0 ii
